11/05/2024	
Pattern groups for guesses from the Large Vocabulary words list (14,855 words) into Wordlebot’s Classic Solutions list (2,309 words)										
qty = qty of possible remaining words groups, i.e. the number of different clue patterns for the guess
ent = remaining words groups entropy in bits (powers of 2)
min, max = minimum and maximum group sizes amongst the number of different clue patterns for the guess
ave = average group size, i.e. # solutions / # groups
exp = expected group size, i.e. sum of each group size * expectation for that group 
p2 = group size population variance

sorted by entropy

guess	qty	ent     min     max     ave     exp     p2
urite	119	5.487	1	248	19.403	85.96	1291.48
hater	128	5.486	1	261	18.039	87.78	1258.07
blare	132	5.486	1	291	17.492	94.37	1344.77
cadre	129	5.486	1	307	17.899	96.38	1404.73
crape	135	5.486	1	304	17.104	99.14	1403.06
spaer	125	5.485	1	269	18.472	93.21	1380.59
naice	117	5.485	1	247	19.735	88.96	1366.11
halse	131	5.484	1	241	17.626	90.83	1290.33
sarin	123	5.484	1	245	18.772	88.25	1304.29
earns	107	5.483	1	219	21.579	82.28	1309.85
spate	133	5.483	1	287	17.361	100.39	1441.54
dearn	135	5.483	1	283	17.104	95.99	1349.19
toran	129	5.482	1	256	17.899	92.72	1339.16
spale	134	5.482	1	285	17.231	99.06	1410.06
rotes	119	5.482	1	244	19.403	85.89	1289.97
tried	138	5.481	1	312	16.732	101.29	1414.86
clart	128	5.481	1	278	18.039	96.83	1421.38
steal	125	5.481	1	236	18.472	92.44	1366.33
alist	128	5.480	1	312	18.039	100.51	1487.76
thane	131	5.479	1	272	17.626	94.26	1350.78
roule	115	5.478	1	235	20.078	84.98	1303.19
leans	111	5.478	1	225	20.802	85.82	1352.45
sayer	110	5.477	1	209	20.991	80.90	1257.59
lanes	114	5.477	1	225	20.254	82.07	1252.01
sorta	121	5.476	1	264	19.083	93.29	1416.03
brane	127	5.476	1	300	18.181	93.45	1368.40
sient	129	5.475	1	301	17.899	109.30	1635.95
aired	122	5.475	1	220	18.926	89.62	1337.89
frate	129	5.474	1	290	17.899	92.99	1344.15
rouse	118	5.474	1	247	19.568	89.96	1377.33
tride	128	5.474	1	312	18.039	97.35	1430.68
argle	125	5.473	1	270	18.472	89.73	1316.27
telia	119	5.473	1	194	19.403	84.40	1261.13
sated	117	5.472	1	262	19.735	88.07	1348.66
silen	124	5.472	1	273	18.621	93.92	1402.15
tuile	125	5.471	1	268	18.472	92.44	1366.38
clote	114	5.470	1	246	20.254	89.41	1400.70
roist	127	5.470	1	304	18.181	96.58	1425.33
plane	132	5.469	1	286	17.492	95.14	1358.30
ursae	104	5.469	1	201	22.202	80.60	1296.55
maile	125	5.469	1	250	18.472	91.03	1340.35
daine	129	5.468	1	266	17.899	97.14	1418.43
oilet	119	5.467	1	204	19.403	85.99	1291.95
ceorl	122	5.467	1	256	18.926	92.00	1382.92
drole	121	5.467	1	297	19.083	93.66	1423.22
heast	132	5.467	1	282	17.492	106.06	1549.19
taros	123	5.466	1	264	18.772	89.17	1321.53
paler	132	5.465	1	265	17.492	90.60	1278.89
poire	123	5.465	1	243	18.772	90.24	1341.54
loser	115	5.465	1	215	20.078	82.92	1261.85
repat	131	5.465	1	267	17.626	93.60	1339.09
arsed	115	5.464	1	256	20.078	88.27	1369.24
trode	124	5.463	1	321	18.621	97.90	1476.22
rites	116	5.463	1	245	19.905	87.24	1340.34
scire	117	5.462	1	255	19.735	89.86	1383.85
suite	130	5.461	1	293	17.762	104.17	1534.67
lores	114	5.461	1	215	20.254	83.00	1270.96
tripe	124	5.460	1	307	18.621	97.43	1467.43
crest	124	5.460	1	276	18.621	98.23	1482.45
laide	114	5.460	1	253	20.254	89.23	1397.10
morae	123	5.460	1	229	18.772	90.26	1341.90
porte	126	5.459	1	301	18.325	97.24	1446.11
loure	113	5.459	1	235	20.434	86.11	1341.96
paren	129	5.457	1	272	17.899	92.76	1340.01
chare	135	5.457	1	296	17.104	102.99	1469.00
diane	130	5.457	1	266	17.762	97.85	1422.49
carpe	138	5.457	1	304	16.732	98.97	1376.01
tiars	115	5.456	1	260	20.078	90.60	1415.92
shear	121	5.455	1	238	19.083	92.69	1404.59
prole	115	5.453	1	284	20.078	92.57	1455.46
tiers	117	5.453	1	245	19.735	92.46	1435.31
great	125	5.452	1	275	18.472	96.17	1435.19
rayle	110	5.452	1	215	20.991	81.85	1277.43
toles	111	5.451	1	224	20.802	85.79	1351.91
sauce	120	5.451	1	247	19.242	95.24	1462.40
danse	117	5.449	1	272	19.735	91.44	1415.13
toeas	104	5.449	1	217	22.202	84.56	1384.51
raits	116	5.449	1	260	19.905	88.75	1370.38
elain	122	5.449	1	258	18.926	93.23	1406.20
roles	111	5.448	1	215	20.802	83.40	1302.25
shire	124	5.447	1	272	18.621	96.39	1448.11
dorse	120	5.446	1	299	19.242	97.04	1496.90
raned	131	5.446	1	283	17.626	95.14	1366.31
patel	134	5.445	1	255	17.231	94.44	1330.34
teils	114	5.445	1	269	20.254	93.37	1480.94
large	126	5.445	1	270	18.325	90.12	1315.66
wrate	128	5.444	1	296	18.039	94.22	1374.30
sager	115	5.444	1	261	20.078	88.29	1369.59
neats	106	5.443	1	239	21.783	88.07	1443.94
tamer	127	5.443	1	274	18.181	92.69	1354.67
citer	127	5.443	1	276	18.181	95.70	1409.46
cruet	134	5.441	1	308	17.231	102.61	1471.27
toras	118	5.440	1	264	19.568	91.85	1414.36
loner	118	5.440	1	221	19.568	88.86	1355.89
haler	121	5.440	1	225	19.083	84.78	1253.68
rotal	127	5.440	1	223	18.181	88.40	1276.64
maise	117	5.439	1	228	19.735	89.57	1378.26
ramie	115	5.438	1	217	20.078	85.82	1319.88
stone	117	5.438	1	255	19.735	93.95	1464.62
ceria	118	5.438	1	205	19.568	88.21	1343.25
noise	113	5.438	1	256	20.434	90.95	1440.99
alder	123	5.437	1	270	18.772	94.16	1415.20
dares	106	5.437	1	256	21.783	86.99	1420.45
races	112	5.436	1	237	20.616	84.94	1326.08
baile	130	5.436	1	263	17.762	95.80	1386.15
trans	113	5.435	1	274	20.434	91.78	1457.84
prise	130	5.435	1	296	17.762	100.73	1473.61
adore	115	5.435	1	241	20.078	88.69	1377.69
apert	131	5.435	1	267	17.626	97.18	1402.23
aures	113	5.434	1	201	20.434	83.43	1287.31
crame	129	5.434	1	313	17.899	102.68	1517.47
pareo	124	5.434	1	223	18.621	89.22	1314.65
rayne	108	5.434	1	216	21.380	83.62	1330.64
cates	114	5.432	1	248	20.254	89.42	1400.86
denar	133	5.432	1	283	17.361	98.60	1410.31
triol	117	5.431	1	244	19.735	90.09	1388.40
neato	106	5.431	1	191	21.783	81.38	1298.17
neals	108	5.431	1	225	21.380	87.00	1403.01
lapse	131	5.430	1	285	17.626	99.33	1440.11
score	120	5.430	1	254	19.242	91.32	1386.97
crena	124	5.430	1	263	18.621	94.67	1416.19
trope	122	5.429	1	301	18.926	96.97	1477.17
noter	118	5.429	1	260	19.568	91.27	1403.08
cries	116	5.429	1	255	19.905	92.49	1444.74
potae	117	5.429	1	204	19.735	89.14	1369.61
tiles	115	5.429	1	269	20.078	91.68	1437.55
cared	122	5.429	1	307	18.926	99.66	1527.99
lader	122	5.428	1	270	18.926	92.56	1393.58
nates	106	5.428	1	239	21.783	84.49	1365.91
close	118	5.428	1	247	19.568	94.97	1475.53
neist	123	5.427	1	301	18.772	103.50	1590.48
trona	121	5.426	1	256	19.083	95.72	1462.37
hanse	122	5.426	1	257	18.926	95.29	1445.20
throe	132	5.426	1	300	17.492	99.33	1431.58
riles	116	5.425	1	206	19.905	84.21	1279.97
socle	116	5.425	1	247	19.905	93.33	1461.47
tarns	114	5.425	1	274	20.254	93.77	1488.94
leirs	107	5.425	1	206	21.579	85.49	1379.22
rased	113	5.425	1	256	20.434	88.33	1387.43
table	129	5.425	1	278	17.899	98.47	1442.17
leary	126	5.424	1	215	18.325	89.07	1296.38
retin	130	5.424	1	269	17.762	95.09	1373.40
paste	130	5.423	1	287	17.762	99.97	1460.21
surat	130	5.423	1	302	17.762	106.24	1571.58
clair	123	5.423	1	270	18.772	96.77	1464.21
gater	119	5.423	1	275	19.403	91.56	1400.07
horse	132	5.422	1	278	17.492	99.26	1430.30
blate	132	5.422	1	278	17.492	99.31	1431.14
oared	113	5.422	1	241	20.434	89.64	1414.23
sayne	108	5.421	1	227	21.380	89.69	1460.49
feart	137	5.421	1	290	16.854	101.14	1420.58
segar	116	5.421	1	261	19.905	92.50	1445.02
shore	121	5.421	1	278	19.083	97.83	1502.64
pares	123	5.421	1	269	18.772	93.30	1399.01
eatin	126	5.420	1	254	18.325	95.25	1409.74
arsey	107	5.419	1	209	21.579	82.37	1311.78
sored	114	5.419	1	299	20.254	99.58	1606.68
tarsi	114	5.418	1	260	20.254	91.63	1445.70
stela	119	5.418	1	236	19.403	93.42	1436.09
truce	134	5.417	1	308	17.231	101.99	1460.54
leapt	126	5.417	1	255	18.325	96.49	1432.41
saree	110	5.417	1	325	20.991	97.77	1611.74
